ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
13748,MATH,2310,601,Discussion,"0","Erica Zhang","We 6:00pm - 6:50pm","","Calculus III","",Closed,36,36,0
11212,MATH,2315,100,Lecture,"4","Benjamin Hayes","TuTh 11:00am - 12:15pm","","Advanced Calculus and Linear Algebra I","",Open,16,36,0
12088,MATH,2315,101,Discussion,"0","Fausto Navarro Cepeda","We 5:00pm - 5:50pm","","Advanced Calculus and Linear Algebra I","",Open,16,36,0
11594,MATH,3000,100,Lecture,"4","J.D. Quigley","MoWe 2:00pm - 3:15pm","","Transition to Higher Mathematics","",Open,34,35,0
11729,MATH,3000,101,Discussion,"0","Nicholas Sweeney","Th 5:00pm - 5:50pm","","Transition to Higher Mathematics","",Open,34,35,0
20138,MATH,3000,200,Lecture,"4","Joshua Turner","TuTh 11:00am - 12:15pm","","Transition to Higher Mathematics","",Open,17,18,0
20139,MATH,3000,201,Discussion,"0","Joshua Turner","Fr 11:00am - 11:50am","","Transition to Higher Mathematics","",Open,17,30,0
10244,MATH,3100,001,Lecture,"3","Abdelmalek Abdesselam","MoWeFr 11:00am - 11:50am","","Introduction to Probability","",Open,33,36,0
11595,MATH,3100,002,Lecture,"3","Abdelmalek Abdesselam","MoWeFr 12:00pm - 12:50pm","","Introduction to Probability","",Open,34,36,0
11213,MATH,3100,003,Lecture,"3","Evangelos Dimou","TuTh 2:00pm - 3:15pm","","Introduction to Probability","",Open,35,36,0
14253,MATH,3100,004,Lecture,"3","Pranava Jayanti","MoWe 3:30pm - 4:45pm","","Introduction to Probability","",Open,23,32,0
10245,MATH,3250,100,Lecture,"4","Brandon Shapiro","TuTh 11:00am - 12:15pm","","Ordinary Differential Equations","",Open,35,36,0
10247,MATH,3250,101,Discussion,"0","Shoya Shimazaki","We 6:00pm - 6:50pm","","Ordinary Differential Equations","",Open,35,36,0
10246,MATH,3250,200,Lecture,"4","Brandon Shapiro","TuTh 9:30am - 10:45am","","Ordinary Differential Equations","",Closed,39,36,0
10248,MATH,3250,201,Discussion,"0","Shoya Shimazaki","We 5:00pm - 5:50pm","","Ordinary Differential Equations","",Closed,39,36,0
13749,MATH,3250,300,Lecture,"4","John Imbrie","TuTh 12:30pm - 1:45pm","","Ordinary Differential Equations","",Open,33,36,0
13750,MATH,3250,301,Discussion,"0","Roan Luikart","Mo 5:00pm - 5:50pm","","Ordinary Differential Equations","",Open,33,36,0
10249,MATH,3310,100,Lecture,"4","Yen Do","TuTh 2:00pm - 3:15pm","","Basic Real Analysis","",Open,32,35,0
12200,MATH,3310,101,Discussion,"0","Khoa Nguyen Dinh","We 6:00pm - 6:50pm","","Basic Real Analysis","",Open,32,35,0
10250,MATH,3310,200,Lecture,"4","Thomas Mark","TuTh 9:30am - 10:45am","","Basic Real Analysis","",Open,34,35,0
12201,MATH,3310,201,Discussion,"0","Samir Fridhi","We 5:00pm - 5:50pm","","Basic Real Analysis","",Open,34,35,0
19587,MATH,3310,300,Lecture,"4","Kang Lu","TuTh 12:30pm - 1:45pm","","Basic Real Analysis","",Closed,20,20,0
